Nutrient,Category,Daily_Need,Daily_Unit,Weekly_Need,Weekly_Unit
Carbohydrates,Macronutrient,100.0,g,700.0,g
Proteins,Macronutrient,54.0,g,378.0,g
Fats (visible fat),Macronutrient,25.0,g,175.0,g
Fiber,Macronutrient,25.0,g,175.0,g
Water (total fluids),Water,2.5,L,17.5,L
Iron (M),Mineral,19.0,mg,133.0,mg
Calcium,Mineral,1000.0,mg,7000.0,mg
Vitamin B12,Vitamin,2.2,µg,15.400000000000002,µg
Vitamin D,Vitamin,600.0,IU,4200.0,IU
Vitamin C (F),Vitamin,65.0,mg,455.0,mg
Zinc (M),Mineral,17.0,mg,119.0,mg
Folate (F),Vitamin,220.0,µg,1540.0,µg
Vitamin A (F),Vitamin,840.0,µg,5880.0,µg
Linoleic acid (n-6),Fatty acid (essential),6.6,g,46.199999999999996,g
"Alpha-linolenic acid, ALA (n-3)",Fatty acid (essential),2.2,g,15.400000000000002,g
EPA + DHA (long-chain n-3),Fatty acid (recommended),250.0,mg,1750.0,mg
Vitamin A (M),Vitamin,1000.0,µg,7000.0,µg
Vitamin E,Vitamin,15.0,mg,105.0,mg
Vitamin K (M) (AI),Vitamin (AI),120.0,µg,840.0,µg
Vitamin K (F) (AI),Vitamin (AI),90.0,µg,630.0,µg
Thiamin (B1) (M),Vitamin,1.8,mg,12.6,mg
Thiamin (B1) (F),Vitamin,1.7,mg,11.9,mg
Riboflavin (B2) (M),Vitamin,2.5,mg,17.5,mg
Riboflavin (B2) (F),Vitamin,2.4,mg,16.8,mg
Niacin (B3) (M),Vitamin,18.0,mg,126.0,mg
Niacin (B3) (F),Vitamin,14.0,mg,98.0,mg
Vitamin B6 (M),Vitamin,2.4,mg,16.8,mg
Vitamin B6 (F),Vitamin,1.9,mg,13.299999999999999,mg
Folate (M),Vitamin,300.0,µg,2100.0,µg
Biotin (B7) (AI),Vitamin (AI),30.0,µg,210.0,µg
Pantothenic acid (B5) (AI),Vitamin (AI),5.0,mg,35.0,mg
Choline (M) (AI),Vitamin-like (AI),550.0,mg,3850.0,mg
Choline (F) (AI),Vitamin-like (AI),425.0,mg,2975.0,mg
Magnesium (M),Mineral,440.0,mg,3080.0,mg
Magnesium (F),Mineral,370.0,mg,2590.0,mg
Phosphorus,Mineral,700.0,mg,4900.0,mg
Potassium (AI),Mineral (AI),3510.0,mg,24570.0,mg
Sodium (upper limit),Mineral (limit),2000.0,mg,14000.0,mg
Iodine,Mineral,150.0,µg,1050.0,µg
Selenium,Mineral,55.0,µg,385.0,µg
Copper,Mineral,900.0,µg,6300.0,µg
Manganese (M) (AI),Mineral (AI),2.3,mg,16.099999999999998,mg
Manganese (F) (AI),Mineral (AI),1.8,mg,12.6,mg
Chromium (M) (AI),Mineral (AI),35.0,µg,245.0,µg
Chromium (F) (AI),Mineral (AI),25.0,µg,175.0,µg
Molybdenum,Mineral,45.0,µg,315.0,µg
Chloride (AI),Mineral (AI),2300.0,mg,16100.0,mg
