Nutrient,Category,Daily_Need_Male,Daily_Need_Female,Daily_Unit,Weekly_Need_Male,Weekly_Need_Female,Weekly_Unit,Reference_Source
Energy,Macronutrient,2710,2130,kcal,18970,14910,kcal,ICMR-NIN 2020 Table 1b
Carbohydrates,Macronutrient,130,130,g,910,910,g,ICMR-NIN 2020 (minimum requirement)
Protein,Macronutrient,54,45.7,g,378,319.9,g,ICMR-NIN 2020 Table 2a
Total Fat,Macronutrient,30,25,g,210,175,g,ICMR-NIN 2020 (moderate activity)
Dietary Fiber,Macronutrient,30,24,g,210,168,g,ICMR-NIN 2020 (30g per 2000kcal)
Water,Macronutrient,3000,2200,ml,21000,15400,ml,ICMR-NIN 2020 (45ml/kg average)
Histidine,Essential Amino Acid,980,770,mg,6860,5390,mg,IOM/DRI (14 mg/kg/day)
Isoleucine,Essential Amino Acid,1235,1045,mg,8645,7315,mg,IOM/DRI (19 mg/kg/day)
Leucine,Essential Amino Acid,2730,2090,mg,19110,14630,mg,IOM/DRI (42 mg/kg/day)
Lysine,Essential Amino Acid,2470,1900,mg,17290,13300,mg,IOM/DRI (38 mg/kg/day)
Methionine_Cysteine,Essential Amino Acid,1235,1045,mg,8645,7315,mg,IOM/DRI (19 mg/kg/day combined)
Phenylalanine_Tyrosine,Essential Amino Acid,2145,1650,mg,15015,11550,mg,IOM/DRI (33 mg/kg/day combined)
Threonine,Essential Amino Acid,1300,1000,mg,9100,7000,mg,IOM/DRI (20 mg/kg/day)
Tryptophan,Essential Amino Acid,325,250,mg,2275,1750,mg,IOM/DRI (5 mg/kg/day)
Valine,Essential Amino Acid,1560,1200,mg,10920,8400,mg,IOM/DRI (24 mg/kg/day)
Linoleic Acid (n-6),Essential Fatty Acid,6.6,6.6,g,46.2,46.2,g,ICMR-NIN 2020
Alpha-Linolenic Acid (n-3),Essential Fatty Acid,2.2,2.2,g,15.4,15.4,g,ICMR-NIN 2020
EPA,Essential Fatty Acid,0.1,0.1,g,0.7,0.7,g,EFSA (part of 250mg EPA+DHA)
DHA,Essential Fatty Acid,0.15,0.15,g,1.05,1.05,g,EFSA (part of 250mg EPA+DHA)
Vitamin A,Fat-Soluble Vitamin,1000,840,μg,7000,5880,μg,ICMR-NIN 2020 Table 3-4
Vitamin D,Fat-Soluble Vitamin,15,15,μg,105,105,μg,ICMR-NIN 2020 Table 3-4
Vitamin E,Fat-Soluble Vitamin,10,7.5,mg,70,52.5,mg,ICMR-NIN 2020 Table 3-4
Vitamin K,Fat-Soluble Vitamin,55,55,μg,385,385,μg,ICMR-NIN 2020 Table 3-4
Thiamine (B1),Water-Soluble Vitamin,1.8,1.7,mg,12.6,11.9,mg,ICMR-NIN 2020 Table 3-4
Riboflavin (B2),Water-Soluble Vitamin,2.5,2.4,mg,17.5,16.8,mg,ICMR-NIN 2020 Table 3-4
Niacin (B3),Water-Soluble Vitamin,18,14,mg,126,98,mg,ICMR-NIN 2020 Table 3-4
Pantothenic Acid (B5),Water-Soluble Vitamin,5,5,mg,35,35,mg,ICMR-NIN 2020 Table 3-4
Pyridoxine (B6),Water-Soluble Vitamin,2.4,1.9,mg,16.8,13.3,mg,ICMR-NIN 2020 Table 3-4
Biotin (B7),Water-Soluble Vitamin,40,40,μg,280,280,μg,ICMR-NIN 2020 Table 3-4
Folate (B9),Water-Soluble Vitamin,300,220,μg,2100,1540,μg,ICMR-NIN 2020 Table 3-4
Vitamin B12,Water-Soluble Vitamin,2.2,2.2,μg,15.4,15.4,μg,ICMR-NIN 2020 Table 3-4
Vitamin C,Water-Soluble Vitamin,80,65,mg,560,455,mg,ICMR-NIN 2020 Table 3-4
Choline,Water-Soluble Vitamin,550,425,mg,3850,2975,mg,IOM/DRI (AI)
Calcium,Major Mineral,1000,1000,mg,7000,7000,mg,ICMR-NIN 2020 Table 3-4
Phosphorus,Major Mineral,1000,1000,mg,7000,7000,mg,ICMR-NIN 2020 Table 3-4
Magnesium,Major Mineral,440,370,mg,3080,2590,mg,ICMR-NIN 2020 Table 3-4
Sodium,Major Mineral,2000,2000,mg,14000,14000,mg,WHO 2012 (as adopted by ICMR)
Potassium,Major Mineral,3510,3510,mg,24570,24570,mg,WHO 2012 (as adopted by ICMR)
Chloride,Major Mineral,2300,2300,mg,16100,16100,mg,IOM/DRI (follows sodium)
Sulfur,Major Mineral,No specific requirement,No specific requirement,mg,No specific requirement,No specific requirement,mg,IOM (met through amino acids)
Iron,Trace Mineral,19,29,mg,133,203,mg,ICMR-NIN 2020 Table 3-4
Zinc,Trace Mineral,17,13,mg,119,91,mg,ICMR-NIN 2020 Table 3-4
Copper,Trace Mineral,2000,2000,μg,14000,14000,μg,ICMR-NIN 2020 Table 3-4
Manganese,Trace Mineral,4,4,mg,28,28,mg,ICMR-NIN 2020 Table 3-4
Selenium,Trace Mineral,40,40,μg,280,280,μg,ICMR-NIN 2020 Table 3-4 (AI)
Iodine,Trace Mineral,150,150,μg,1050,1050,μg,ICMR-NIN 2020 Table 3-4
Fluoride,Trace Mineral,3250,2750,μg,22750,19250,μg,IOM/DRI (50 μg/kg body weight)
Chromium,Trace Mineral,50,50,μg,350,350,μg,ICMR-NIN 2020 Table 3-4 (AI)
Molybdenum,Trace Mineral,45,45,μg,315,315,μg,IOM/DRI
Cobalt,Trace Mineral,No specific requirement,No specific requirement,μg,No specific requirement,No specific requirement,μg,IOM (met through B12)
Nickel,Trace Mineral,No established requirement,No established requirement,μg,No established requirement,No established requirement,μg,IOM (insufficient data)
Silicon,Trace Mineral,No established requirement,No established requirement,mg,No established requirement,No established requirement,mg,IOM (insufficient data)
Vanadium,Trace Mineral,No established requirement,No established requirement,μg,No established requirement,No established requirement,μg,IOM (insufficient data)
Boron,Trace Mineral,No established requirement,No established requirement,mg,No established requirement,No established requirement,mg,IOM (insufficient data)
